"FileIndex","PlotIndex","TRecIndex","TRecType","Measurement","SpeciesCode","SpeciesName","GroupName","Dbh","ProductNumb","ProductName","TQIPrd","Count","GSF","PACF","DefStumpHt","HmObs","HsObs","HpObs","HmEst","HsEst","HpEst","Top","Defect","FcObs","FcEst","Age","Ht","RadialGr","SngBark","ReproPlot","OffPlot","SubMerch","PWOnly","StumpHt","StumpDia","TClass","TClassName","TClass2","TClassName2","IsGradeTree","GrdStumpHt","StopTop","TopType","TopTypeV","SGL1","GRD1","GRDV1","DEF1","SGL2","GRD2","GRDV2","DEF2","SGL3","GRD3","GRDV3","DEF3","SGL4","GRD4","GRDV4","DEF4","SGL5","GRD5","GRDV5","DEF5","SGL6","GRD6","GRDV6","DEF6","SGL7","GRD7","GRDV7","DEF7","SGL8","GRD8","GRDV8","DEF8","SGL9","GRD9","GRDV9","DEF9","SGL10","GRD10","GRDV10","DEF10","SGL11","GRD11","GRDV11","DEF11","SGL12","GRD12","GRDV12","DEF12","SGL13","GRD13","GRDV13","DEF13","SGL14","GRD14","GRDV14","DEF14","SGL15","GRD15","GRDV15","DEF15","SGL16","GRD16","GRDV16","DEF16","SGL17","GRD17","GRDV17","DEF17","SGL18","GRD18","GRDV18","DEF18","SGL19","GRD19","GRDV19","DEF19","SGL20","GRD20","GRDV20","DEF20","LogTrim","BA","PW_CFVOB","PW_CFVIB","PW_GreenTons","PW_WtCords","SW_CFVOB","SW_CFVIB","SW_GreenTons","SW_WtCords","IntQuarter","Doyle","Scribner","PW_Dollars","SW_Dollars","CC01","CC02","CC03","CC04","CC05","CC06","CC07","CC08","CC09","CC10","CC11","CC12","CC13","CC14","CC15","CC16","CC17","CC18","CC19","CC20","CC21","CC22"
1,496,1457,,0,"BF","Balsam Fir","Balsam Fir",6.7,1,"Pulp",0,1,1,81.68701467541818,1,45,0,0,45,0,23,0,0,0,80,0,45,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,350.8980165733545,317.6241669185753,9.700575828798749,4.127904607999468,0,0,0,0,0,0,0,4.127904607999468,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,496,1458,,0,"BF","Balsam Fir","Balsam Fir",5.7,1,"Pulp",0,1,1,112.863346426824,1,43,0,0,43,0,17,0,0,0,80,0,43,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,283.6264323486415,256.0080583073915,7.840852852112072,3.336533128558329,0,0,0,0,0,0,0,3.336533128558329,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,496,1459,,0,"BF","Balsam Fir","Balsam Fir",11,1,"Pulp",0,1,1,30.30520561983471,1,51,0,0,51,0,37,0,0,0,80,0,51,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,440.1036313951082,405.6808764534278,12.16666509138122,5.177304294204775,0,0,0,0,0,0,0,5.177304294204775,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,496,1460,,0,"BF","Balsam Fir","Balsam Fir",5.6,1,"Pulp",0,1,1,116.9301659724136,1,37,0,0,37,0,15,0,0,0,80,0,37,0,0,0,0,0,0,0,0,1,"PU",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,241.4665253271131,224.5081052368266,6.675342203202645,2.840571150298998,0,0,0,0,0,0,0,2.840571150298998,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,496,1461,,0,"BF","Balsam Fir","Balsam Fir",6.7,1,"Pulp",0,1,1,81.68701467541818,1,44,0,0,44,0,23,0,0,0,80,0,44,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,346.3847603936496,314.6826546877414,9.575806859644803,4.074811429636087,0,0,0,0,0,0,0,4.074811429636087,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,496,1462,,0,"BF","Balsam Fir","Balsam Fir",5.4,1,"Pulp",0,1,1,125.7520490562202,1,37,0,0,37,0,13,0,0,0,80,0,37,0,0,0,0,0,0,0,0,2,"C",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,215.9717915567039,201.2022613017168,5.970540276449118,2.540655436786859,0,0,0,0,0,0,0,2.540655436786859,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,496,1463,,0,"BF","Balsam Fir","Balsam Fir",7,1,"Pulp",0,1,1,74.8353036734694,1,49,0,0,49,0,27,0,0,0,80,0,49,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272153,403.0917431711904,361.5303912205745,11.14347142448831,4.741902733824815,0,0,0,0,0,0,0,4.741902733824815,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,496,1464,,0,"BF","Balsam Fir","Balsam Fir",2,6,"SM",0,1,1,500,0.5,25,0,0,0,0,0,0,0,0,88,0,25,0,0,0,0,1,0,0,0,3,"D",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10.908,0,0,0,0,0,0,0,0,0,0,0,0,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,497,1473,,0,"BF","Balsam Fir","Balsam Fir",5.6,1,"Pulp",0,1,1,116.9301659724136,1,0,0,0,34.39199,0,13,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,208.8693930137734,198.2220801148076,5.774194465478587,2.457104027863229,0,0,0,0,0,0,0,2.457104027863229,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,497,1474,,0,"BF","Balsam Fir","Balsam Fir",4.5,6,"SM",0,1,1,500,0.5,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55.22175,0,0,0,0,0,0,0,0,0,0,0,0,0,,"N","1","1",,,,,,,,,,,,,,,,,,
